iter	Passed	Remaining
412	3844	5463
413	3852	5452
414	3860	5442
415	3874	5438
416	3883	5429
417	3892	5419
418	3900	5408
419	3908	5396
420	3916	5386
421	3924	5374
422	3931	5362
423	3939	5352
424	3947	5340
425	3955	5329
426	3963	5318
427	3971	5308
428	3979	5296
429	3988	5286
430	3997	5277
431	4004	5265
432	4012	5254
433	4020	5243
434	4028	5232
435	4035	5220
436	4043	5209
437	4051	5199
438	4060	5188
439	4069	5179
440	4078	5170
441	4087	5160
442	4096	5150
443	4103	5139
444	4110	5126
445	4119	5117
446	4127	5106
447	4135	5095
448	4143	5084
449	4152	5075
450	4160	5064
451	4169	5054
452	4177	5044
453	4185	5033
454	4193	5022
455	4201	5011
456	4210	5002
457	4219	4993
458	4227	4982
459	4235	4971
460	4243	4961
461	4252	4951
462	4259	4940
463	4268	4930
464	4278	4922
465	4288	4914
466	4296	4904
467	4304	4892
468	4312	4882
469	4321	4873
470	4329	4862
471	4338	4852
472	4346	4842
473	4354	4832
474	4362	4821
475	4371	4811
476	4379	4801
477	4387	4790
478	4394	4780
479	4404	4771
480	4412	4761
481	4420	4751
482	4429	4740
483	4437	4730
484	4446	4721
485	4455	4712
486	4466	4704
487	4477	4698
488	4486	4688
489	4497	4681
490	4505	4670
491	4513	4659
492	4520	4649
493	4528	4638
494	4536	4627
495	4544	4617
496	4552	4607
497	4560	4597
498	4569	4588
499	4579	4579
500	4588	4570
501	4596	4560
502	4606	4551
503	4614	4541
504	4626	4535
505	4635	4525
506	4644	4516
507	4653	4507
508	4663	4498
509	4672	4489
510	4684	4482
511	4695	4475
512	4705	4466
513	4713	4456
514	4721	4446
515	4728	4435
516	4736	4425
517	4744	4414
518	4751	4403
519	4758	4392
520	4766	4382
521	4776	4374
522	4783	4362
523	4791	4352
524	4799	4342
525	4808	4333
526	4816	4322
527	4824	4312
528	4831	4301
529	4839	4291
530	4847	4281
531	4856	4272
532	4864	4262
533	4876	4255
534	4886	4247
535	4894	4237
536	4902	4227
537	4911	4217
538	4918	4206
539	4927	4197
540	4935	4187
541	4943	4177
542	4951	4167
543	4959	4156
544	4966	4146
545	4976	4137
546	4983	4127
547	4991	4117
548	4999	4107
549	5009	4098
550	5016	4088
551	5024	4077
552	5032	4067
553	5039	4057
554	5048	4047
555	5055	4037
556	5064	4027
557	5073	4018
558	5084	4011
559	5093	4001
560	5101	3991
561	5108	3981
562	5116	3971
563	5124	3961
564	5133	3952
565	5140	3941
566	5148	3931
567	5156	3921
568	5163	3911
569	5172	3902
570	5182	3893
571	5190	3884
572	5199	3874
573	5206	3864
574	5214	3854
575	5221	3843
576	5229	3833
577	5237	3823
578	5245	3814
579	5256	3806
580	5265	3797
581	5275	3789
582	5288	3782
583	5296	3772
584	5303	3762
585	5311	3752
586	5320	3743
587	5327	3733
588	5336	3723
589	5345	3714
590	5355	3706
591	5363	3696
592	5374	3688
593	5382	3679
594	5390	3669
595	5399	3659
596	5409	3651
597	5417	3641
598	5425	3632
599	5433	3622
600	5441	3612
601	5450	3603
602	5458	3593
603	5466	3584
604	5476	3575
605	5485	3566
606	5495	3557
607	5503	3548
608	5512	3538
609	5520	3529
610	5528	3519
611	5535	3509
612	5544	3500
613	5551	3490
614	5560	3480
615	5569	3471
616	5579	3463
617	5587	3453
618	5595	3443
619	5603	3434
620	5612	3425
621	5621	3416
622	5629	3406
623	5637	3396
624	5644	3386
625	5652	3376
626	5660	3367
627	5669	3358
628	5679	3349
629	5690	3342
630	5698	3332
631	5706	3322
632	5713	3312
633	5722	3303
634	5730	3293
635	5740	3285
636	5749	3276
637	5759	3267
638	5769	3259
639	5777	3249
640	5785	3240
641	5792	3230
642	5803	3222
643	5811	3212
644	5819	3202
645	5826	3192
646	5834	3183
647	5843	3174
648	5851	3164
649	5859	3155
650	5868	3146
651	5880	3138
652	5890	3129
653	5897	3120
654	5905	3110
655	5912	3100
656	5920	3090
657	5928	3081
658	5935	3071
659	5943	3061
660	5950	3051
661	5958	3042
662	5965	3032
663	5974	3023
664	5984	3014
665	5992	3005
666	5999	2995
667	6007	2985
668	6015	2976
669	6023	2966
670	6031	2957
671	6039	2947
672	6047	2938
673	6056	2929
674	6064	2919
675	6073	2911
676	6084	2902
677	6093	2894
678	6102	2885
679	6110	2875
680	6118	2866
681	6128	2857
682	6136	2848
683	6146	2839
684	6154	2830
685	6164	2821
686	6174	2812
687	6183	2804
688	6191	2794
689	6199	2785
690	6210	2777
691	6221	2769
692	6229	2759
693	6237	2750
694	6245	2740
695	6253	2731
696	6260	2721
697	6272	2713
698	6285	2706
699	6298	2699
700	6306	2689
701	6314	2680
702	6321	2670
703	6329	2661
704	6337	2651
705	6344	2642
706	6352	2632
707	6360	2623
708	6369	2614
709	6378	2605
710	6387	2596
711	6396	2587
712	6403	2577
713	6412	2568
714	6421	2559
715	6429	2550
716	6438	2541
717	6446	2531
718	6454	2522
719	6462	2513
720	6469	2503
721	6479	2494
722	6488	2486
723	6497	2477
724	6507	2468
725	6515	2458
726	6523	2449
727	6532	2440
728	6541	2431
729	6551	2423
730	6565	2415
731	6574	2406
732	6581	2397
733	6591	2388
734	6599	2379
735	6608	2370
736	6617	2361
737	6627	2352
738	6636	2343
739	6643	2334
740	6651	2324
741	6659	2315
742	6666	2305
743	6674	2296
744	6684	2287
745	6692	2278
746	6705	2271
747	6716	2262
748	6724	2253
749	6732	2244
750	6741	2235
751	6749	2225
752	6757	2216
753	6768	2208
754	6777	2199
755	6784	2189
756	6792	2180
757	6801	2171
758	6808	2161
759	6816	2152
760	6824	2143
761	6833	2134
762	6840	2124
763	6848	2115
764	6856	2106
765	6864	2097
766	6872	2087
767	6880	2078
768	6890	2069
769	6899	2060
770	6909	2052
771	6919	2043
772	6927	2034
773	6935	2025
774	6944	2016
775	6952	2006
776	6961	1997
777	6970	1989
778	6978	1979
779	6989	1971
780	6998	1962
781	7006	1953
782	7014	1943
783	7021	1934
784	7030	1925
785	7038	1916
786	7047	1907
787	7056	1898
788	7064	1889
789	7073	1880
790	7081	1871
791	7090	1862
792	7098	1853
793	7115	1846
794	7124	1837
795	7132	1827
796	7140	1818
797	7149	1809
798	7156	1800
799	7165	1791
800	7173	1782
801	7181	1772
802	7188	1763
803	7196	1754
804	7206	1745
805	7216	1736
806	7224	1727
807	7232	1718
808	7240	1709
809	7248	1700
810	7256	1691
811	7265	1682
812	7272	1672
813	7281	1663
814	7289	1654
815	7297	1645
816	7306	1636
817	7315	1627
818	7325	1618
819	7333	1609
820	7341	1600
821	7348	1591
822	7356	1582
823	7365	1573
824	7376	1564
825	7384	1555
826	7393	1546
827	7408	1538
828	7416	1529
829	7424	1520
830	7432	1511
831	7441	1502
832	7449	1493
833	7460	1484
834	7469	1475
835	7477	1466
836	7484	1457
837	7492	1448
838	7500	1439
839	7513	1431
840	7522	1422
841	7530	1413
842	7538	1403
843	7546	1394
844	7555	1385
845	7564	1377
846	7572	1367
847	7581	1358
848	7589	1349
849	7597	1340
850	7604	1331
851	7614	1322
852	7622	1313
853	7630	1304
854	7638	1295
855	7647	1286
856	7655	1277
857	7663	1268
858	7671	1259
859	7679	1250
860	7686	1240
861	7695	1231
862	7703	1222
863	7713	1214
864	7722	1205
865	7731	1196
866	7739	1187
867	7747	1178
868	7757	1169
869	7766	1160
870	7775	1151
871	7785	1142
872	7794	1133
873	7802	1124
874	7811	1115
875	7820	1106
876	7828	1097
877	7836	1088
878	7844	1079
879	7854	1071
880	7863	1062
881	7871	1053
882	7879	1044
883	7888	1035
884	7896	1026
885	7905	1017
886	7916	1008
887	7926	999
888	7935	990
889	7943	981
890	7951	972
891	7958	963
892	7967	954
893	7975	945
894	7982	936
895	7990	927
896	7998	918
897	8008	909
898	8017	900
899	8025	891
900	8033	882
901	8041	873
902	8049	864
903	8057	855
904	8066	846
905	8073	837
906	8081	828
907	8090	819
908	8098	810
909	8106	801
910	8115	792
911	8125	784
912	8135	775
913	8143	766
914	8153	757
915	8160	748
916	8167	739
917	8177	730
918	8186	721
919	8195	712
920	8204	703
921	8212	694
922	8221	685
923	8230	676
924	8239	668
925	8253	659
926	8263	650
927	8276	642
928	8287	633
929	8296	624
930	8307	615
931	8316	606
932	8328	598
933	8337	589
934	8345	580
935	8355	571
936	8363	562
937	8372	553
938	8380	544
939	8389	535
940	8397	526
941	8405	517
942	8415	508
943	8424	499
944	8432	490
945	8441	481
946	8451	473
947	8458	463
948	8466	455
949	8474	446
950	8483	437
951	8490	428
952	8499	419
953	8507	410
954	8525	401
955	8534	392
956	8545	383
957	8555	375
958	8563	366
959	8573	357
960	8582	348
961	8589	339
962	8597	330
963	8605	321
964	8615	312
965	8624	303
966	8633	294
967	8643	285
968	8651	276
969	8659	267
970	8667	258
971	8674	249
972	8682	240
973	8691	232
974	8699	223
975	8708	214
976	8717	205
977	8732	196
978	8741	187
979	8751	178
980	8758	169
981	8766	160
982	8775	151
983	8783	142
984	8791	133
985	8799	124
986	8808	116
987	8816	107
988	8825	98
989	8833	89
990	8841	80
991	8852	71
992	8860	62
993	8868	53
994	8876	44
995	8884	35
996	8893	26
997	8901	17
998	8910	8
999	8918	0
